frequency,intensity,lower_state,upper_state
-38.19769176225344,8.585207516174691e-07,"(6, 20, 1)","(5, 20, 0)"
-38.19674845755378,7.895071172078376e-05,"(3, 30, 3)","(2, 29, 2)"
-38.18694013758633,5.371938485637542e-08,"(4, 19, 0)","(2, 19, 1)"
-38.13766315839729,0.00041814035411258084,"(7, 29, 3)","(6, 28, 2)"
-38.137660831848024,0.0004181403633532399,"(6, 29, 0)","(6, 28, 1)"
-38.12587723404209,2.763777590717316e-05,"(10, 30, 1)","(10, 30, 0)"
-38.125877234041866,2.76377759071737e-05,"(10, 30, 2)","(9, 30, 3)"
-38.101577721797895,0.0005783498664836767,"(8, 26, 0)","(7, 25, 1)"
-38.1015777217377,0.0005783498664838806,"(7, 26, 3)","(7, 25, 2)"
-38.09304079532373,4.9423559072661095e-05,"(2, 29, 1)","(1, 28, 0)"
-38.07731229801075,4.9448748416625946e-05,"(2, 29, 3)","(1, 28, 2)"
-38.07425944043864,2.47346542576719e-07,"(6, 13, 3)","(4, 12, 2)"
-38.07425942761287,2.473465426182596e-07,"(5, 13, 0)","(4, 12, 1)"
-38.06345928967227,2.713436921513354e-07,"(4, 18, 0)","(1, 17, 1)"
-38.05359261407483,2.5097180013012052e-05,"(11, 27, 3)","(10, 27, 2)"
-38.0535926140746,2.5097180013012594e-05,"(10, 27, 0)","(10, 27, 1)"
-38.047093745472466,3.859345798955492e-06,"(3, 24, 0)","(1, 23, 1)"
-37.986535968660604,3.3927020170468025e-06,"(5, 27, 0)","(4, 27, 1)"
-37.959381356974006,8.94806956121863e-07,"(2, 30, 2)","(0, 30, 3)"
-37.950413272588946,8.950491382872066e-07,"(2, 30, 0)","(0, 30, 1)"
-37.92723571659323,1.0835089311360027e-05,"(5, 21, 3)","(3, 20, 2)"
-37.92689875915886,3.3970915588488805e-06,"(6, 27, 3)","(4, 27, 2)"
-37.92214577133505,3.118619149921469e-06,"(5, 17, 2)","(3, 16, 3)"
-37.92200003442943,3.1186279634550087e-06,"(5, 17, 1)","(4, 16, 0)"
-37.911831512941205,1.3226524444900585e-06,"(5, 27, 3)","(2, 27, 2)"
-37.9036846650429,4.500950210090572e-05,"(4, 28, 2)","(3, 27, 3)"
-37.8588260864493,1.0860175047093986e-05,"(4, 21, 0)","(3, 20, 1)"
-37.8458104433324,2.5622027503892216e-07,"(2, 21, 1)","(0, 20, 0)"
-37.793514588235126,6.766840392472845e-07,"(6, 19, 1)","(4, 19, 0)"
-37.7935104374572,6.766840735398119e-07,"(6, 19, 2)","(5, 19, 3)"
-37.76476223451631,2.818711815757981e-07,"(4, 23, 1)","(1, 23, 0)"
-37.73342577634898,0.0007083936400954988,"(8, 24, 1)","(7, 23, 0)"
-37.733425776348895,0.0007083936400956023,"(8, 24, 2)","(8, 23, 3)"
-37.7306286876956,0.00037702026316310236,"(6, 30, 1)","(5, 29, 0)"
-37.730506794540645,0.0003770208006239366,"(6, 30, 2)","(6, 29, 3)"
-37.725086513413174,7.62078437500995e-05,"(3, 30, 0)","(2, 29, 1)"
-37.69639805909699,3.047529789670986e-07,"(1, 29, 0)","(0, 29, 1)"
-37.69540867701477,3.0476143513233307e-07,"(1, 29, 2)","(0, 29, 3)"
-37.688460271005454,7.2633582275326905e-06,"(11, 23, 1)","(10, 23, 0)"
-37.68846027100534,7.2633582275308575e-06,"(11, 23, 2)","(11, 23, 3)"
-37.670099680584684,1.2276489457476752e-05,"(3, 25, 2)","(1, 24, 3)"
-37.65344520592876,3.0707608320975304e-06,"(3, 22, 2)","(1, 21, 3)"
-37.61586179523853,8.368917527173966e-08,"(3, 23, 1)","(0, 23, 0)"
-37.55388437398284,0.0005641751560537606,"(7, 27, 2)","(6, 26, 3)"
-37.553884364822125,0.0005641751560942138,"(7, 27, 1)","(7, 26, 0)"
-37.526077021360436,3.3577791489548937e-06,"(5, 26, 3)","(4, 26, 2)"
-37.51122789825499,2.2993946175326356e-05,"(4, 24, 1)","(2, 23, 0)"
-37.49962657565328,0.0008243423911362752,"(8, 22, 3)","(8, 21, 2)"
-37.49962657565314,0.0008243423911362563,"(9, 22, 0)","(8, 21, 1)"
-37.49440375709327,3.359921794434287e-06,"(6, 26, 0)","(4, 26, 1)"
-37.46296946631429,3.231663883634813e-05,"(10, 29, 2)","(10, 29, 3)"
-37.46296946631429,3.231663883634925e-05,"(10, 29, 1)","(9, 29, 0)"
-37.45574519973633,2.6578047179550314e-05,"(11, 26, 0)","(10, 26, 1)"
-37.45574519973627,2.657804717955089e-05,"(10, 26, 3)","(10, 26, 2)"
-37.4148700944051,7.32192105417522e-05,"(2, 29, 0)","(1, 28, 1)"
-37.40561082378366,5.036832323054976e-07,"(6, 18, 2)","(4, 18, 3)"
-37.40560951912737,5.036832402456755e-07,"(6, 18, 1)","(5, 18, 0)"
-37.401328073762215,0.0009142108392804492,"(9, 20, 2)","(9, 19, 3)"
-37.401328073762215,0.0009142108392803281,"(9, 20, 1)","(8, 19, 0)"
-37.36989228790304,8.356999318455542e-08,"(6, 12, 0)","(4, 11, 1)"
-37.369892286062644,8.356999318547417e-08,"(5, 12, 3)","(4, 11, 2)"
-37.36235143272191,1.4085810219015209e-05,"(1, 28, 2)","(0, 27, 3)"
-37.36227290487693,1.4085839923630631e-05,"(1, 28, 0)","(0, 27, 1)"
-37.33034125625494,1.7316345720205148e-06,"(4, 28, 1)","(2, 28, 0)"
-37.32842151934281,1.1693048460018181e-06,"(5, 26, 0)","(2, 26, 1)"
-37.279073421017415,4.100192453521312e-05,"(4, 27, 1)","(3, 26, 0)"
-37.25004979148332,7.372761535150541e-05,"(2, 29, 2)","(1, 28, 3)"
-37.150796848372366,2.4493736172807716e-06,"(5, 16, 1)","(3, 15, 0)"
-37.15074749950848,2.4493759226017495e-06,"(5, 16, 2)","(4, 15, 3)"
-37.136977813441206,2.736902852345913e-07,"(2, 21, 3)","(0, 20, 2)"
-37.12648604959901,3.5860010435389647e-06,"(3, 21, 0)","(1, 20, 1)"
-37.122701688988585,9.922717839303428e-06,"(5, 20, 0)","(3, 19, 1)"
-37.09763301779782,0.0007175512207660188,"(8, 25, 3)","(7, 24, 2)"
-37.09763301778287,0.000717551220766108,"(7, 25, 0)","(7, 24, 1)"
-37.0879137320416,9.933485996220469e-06,"(4, 20, 3)","(3, 19, 2)"
-37.0736960252207,3.2577255558503184e-06,"(5, 25, 0)","(4, 25, 1)"
-37.06976291290164,0.0005330531229824543,"(7, 28, 0)","(6, 27, 1)"
-37.069762050541584,0.0005330531272618747,"(6, 28, 3)","(6, 27, 2)"
-37.05748921298061,3.258727346829124e-06,"(6, 25, 3)","(4, 25, 2)"
-37.056225758346244,3.871016098317795e-07,"(3, 26, 1)","(1, 26, 0)"
-37.03464920454117,3.4853431747951853e-07,"(6, 17, 1)","(4, 17, 0)"
-37.0346488277481,3.4853431904569865e-07,"(6, 17, 2)","(5, 17, 3)"
