,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(1, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.411464491985306+0j),(-2.758489313401116+0j),(0.5819082375243662+0j),(-0.08780254921412399+0j),(0.004437885888513891+0j),(-0.00011701287854696415+0j),(1.7023136232189844e-06+0j),(1.3155914524069837e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.19858877295549715+0j),(-2.5010489780059966+0j),(4.0740282563683055+0j),(-0.9650869173775455+0j),(0.04911322129273646+0j),(-0.0012949758974571644+0j),(1.8839423106359848e-05+0j),(1.455958693770644e-07+0j),(-4.952285550022904e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01905949116366664+0j),(0.2593653994776317+0j),(-1.044000128719123+0j),(6.720474123034537+0j),(-0.6753162749834928+0j),(0.017839924207103938+0j),(-0.0002595370621887926+0j),(-2.0057686307044064e-06+0j),(6.822410514964876e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000955838500531848+0j),(-0.01301458095303782+0j),(0.052976384099227364+0j),(-0.6754843800080456+0j),(8.882028298464544+0j),(-0.46811275386367096+0j),(0.006813987996434138+0j),(5.266024290858652e-05+0j),(-1.7911824329924825e-07+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.5201934232711928e-05+0j),(0.00034314684645428303+0j),(-0.0013968233799895697+0j),(0.017844305659278803+0j),(-0.4681129069524771+0j),(10.941328819145225+0j),(-0.3182939899464893+0j),(-0.0024602963392513534+0j),(8.36843763869506e-06+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.6663994472926685e-07+0j),(-4.9921303672785965e-06+0j),(2.0321109082508296e-05+0j),(-0.00025960080303394725+0j),(0.006813990213490627+0j),(-0.31829398999287295+0j),(12.969522866391308+0j),(0.20045320101448103+0j),(-0.0006818555883445323+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.8334874398288415e-09+0j),(-3.858045837100098e-08+0j),(1.57046715212457e-07+0j),(-2.0062612352627245e-06+0j),(5.266026003799411e-05+0j),(-0.002460296339604661+0j),(0.2004532010144747+0j),(14.985137079736404+0j),(-0.101939675056928+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.3122625858135737e-10+0j),(-5.341777962169478e-10+0j),(6.824084070965641e-09+0j),(-1.791182981931864e-07+0j),(8.368437629165174e-06+0j),(-0.0006818555883352569+0j),(-0.10193967505692036+0j),(16.99481310434588+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(0, 18, 3)",(-1.7956633407182374+0j),(-2.413135779539148+0j),(-0.23341132173013612+0j),(0.05992317311766675+0j),(-0.004658140098927178+0j),(0.00016751456944723295+0j),(-3.2783467115220422e-06+0j),(3.514237491413456e-08+0j),(1.8773574893990873e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 3)",(0.08902795793552289+0j),(2.715664848583427+0j),(3.093814409907388+0j),(-0.9674193696127463+0j),(0.07584882204562013+0j),(-0.0027277474794259004+0j),(5.3383430022135556e-05+0j),(-5.722458671746061e-07+0j),(-3.0569904558866978e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
