,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(4, 18, 2)",0.00032637879128439516j,0.010662255766425611j,0.06079026077956076j,-0.4132109123825386j,7.587519219171812j,-7.412753252221182j,0.14905257015071613j,-0.0015977890616588595j,-8.535532258483406e-06j,1.5210660631741588e-08j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 2)",-8.605404353302968e-06j,-0.0002811243661409228j,-0.0016028240255274073j,0.010896498630899474j,-0.20748401957228566j,7.167759789489646j,-6.857854733574197j,0.07464888939160405j,0.0003987816576058488j,-7.106448882300685e-07j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 2)",1.2519217165000185e-07j,4.089821892878178e-06j,2.3318024324157942e-05j,-0.0001585232296245415j,0.003018558966808835j,-0.1064205104692302j,6.481421559269172j,-6.0310521229345975j,-0.032492498131505614j,5.790294557366058e-05j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 2)",9.67513710142691e-10j,3.1607189470802714e-08j,1.8020764339312498e-07j,-1.2251079637568535e-06j,2.332819386984082e-05j,-0.0008224478732484533j,0.050668831812767226j,-5.492148575320294j,-4.837924664668686j,0.008656770877981355j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 2)",0j,-1.0750808008202556e-10j,-6.129568413714219e-10j,4.167074623081528e-09j,-7.934838033891344e-08j,2.797469376996309e-06j,-0.00017234477068267203j,0.01879447371742509j,4.014644486212359j,-2.8831138528458307j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(0, 18, 3)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-16.05377264215852j,-1.5784529657475146j,0.3084581304548428j,-0.04635803691330102j,0.0023430066442479904j,-6.177759722040529e-05j,8.98745903964648e-07j,6.945735579936235e-09j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 3)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,1.55897624822561j,11.663820004251344j,-4.748441315930442j,0.7543649517722301j,-0.03815263563759858j,0.0010059643861529814j,-1.4634858155756592e-05j,-1.1310191845424571e-07j,3.8469990356491103e-10j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 3)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0.1596047317535772j,-2.156370878480227j,7.604249372952646j,-7.591196511214702j,0.41124049858302075j,-0.010844600229239255j,0.00015776820787527084j,1.2192729630454977e-06j,-4.147224836231739e-09j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 3)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0.011400860381901636j,0.15522838561675487j,-0.6315104350807529j,7.674525720385282j,-7.587431388401511j,0.20748189625577035j,-0.0030185280839520835j,-2.3327955202579616e-05j,7.9347568381558e-08j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 3)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0.00040980719164647564j,-0.005579890816467705j,0.02271365018034613j,-0.29015019783047724j,7.412755928033226j,-7.167759727795895j,0.10642050963083399j,0.0008224478667739557j,-2.797469357558735e-06j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
